,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
3278,EUN1_3236199395,14,5,1,8,2,8,1,0,1,0,15453,6.6,16296,167,44,1708,626,18.5494067707186,1716.4310348976917,15,2,0,2,8,1,0,1,1,0,13745,6.4,15670,183,57,-1708,-626,20.326595443362294,1526.7161440929767,1
16170,EUN1_3245123994,10,2,0,3,7,1,1,0,1,0,14034,6.6,16836,178,72,-1852,189,19.773164039501893,1558.9695737661211,16,0,1,7,3,9,0,1,1,0,15886,6.6,16647,200,48,1852,-189,22.21703824663134,1764.6993479299274,1
15461,EUN1_3231093154,15,1,1,5,4,10,1,0,1,0,14951,6.6,15725,164,56,1091,-9,18.215408310224696,1660.6010344278625,15,2,0,4,5,2,0,0,0,0,13860,6.4,15734,174,56,-1091,9,19.32610393889693,1539.424141339721,1
8498,EUN1_3247719204,17,2,0,5,3,4,0,0,0,0,14968,6.2,15129,177,36,817,-593,19.661314419963457,1662.6584985198474,14,2,1,3,5,2,0,0,0,0,14151,6.4,15722,209,52,-817,593,23.21590233769696,1571.905425745214,1
1103,EUN1_3247569440,9,3,0,12,4,12,1,0,1,0,17959,6.8,17407,206,52,4139,3103,22.883168096864672,1994.94570801744,13,3,1,4,12,5,0,0,0,0,13820,6.2,14304,167,38,-4139,-3103,18.55091782609903,1535.1717626149018,1
11395,EUN1_3247259024,20,1,1,9,3,6,1,0,1,0,15909,6.8,17042,180,56,3128,2608,19.99489019472801,1767.2150450440442,10,1,0,3,9,1,0,0,0,0,12781,6.0,14434,156,48,-3128,-2608,17.328904835430947,1419.748286548993,1
10836,EUN1_3250858483,11,0,1,7,8,5,0,0,0,0,14987,6.4,16056,147,40,-38,-142,16.329009169793927,1664.7813634537522,15,2,0,8,7,4,0,0,0,0,15025,6.6,16198,159,56,38,142,17.66198951018527,1669.0024678649916,1
12109,EUN1_3238705142,10,23,1,3,5,3,0,0,0,0,14351,6.6,15662,213,52,-1060,-1611,23.65567116025699,1593.8147268584416,46,3,0,5,3,5,0,0,0,0,15411,6.8,17273,207,44,1060,1611,22.989314226165245,1711.53778521465,1
15085,EUN1_3248628952,10,1,1,10,2,11,1,0,1,0,17290,7.0,17556,202,47,3971,1950,22.43592710174841,1920.382077174406,14,0,0,2,10,1,0,0,0,0,13319,6.4,15606,176,68,-3971,-1950,19.548134504493664,1479.3272924167677,1
13456,EUN1_3250595861,13,2,0,5,3,5,0,0,0,0,14846,6.6,15862,189,52,226,-597,20.993973951921205,1649.0822078847737,6,1,1,3,5,2,1,0,1,0,14620,6.8,16459,223,60,-226,597,24.770667678721846,1623.9783025242753,1
